evidence_id,product_id,attribute_name,value,document_id,page_number,section,table_name,source_text,evidence_type,bounding_box,confidence,verification_status
EVID-PROD-17-SensorType,PROD-17,Sensor Type,51,DOC-PROD-17,2,Tech Specs,Table 1,Sensor Type: 51 String,Text,"x=120,y=350,w=280,h=45",65,PASSED
EVID-PROD-17-Accuracy,PROD-17,Accuracy,68,DOC-PROD-17,2,Tech Specs,Table 1,Accuracy: 68 %,Text,"x=120,y=350,w=280,h=45",65,PASSED
EVID-PROD-18-TemperatureRange,PROD-18,Temperature Range,224,DOC-PROD-18,2,Tech Specs,Table 1,Temperature Range: 224 °C,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-18-SensorType,PROD-18,Sensor Type,304,DOC-PROD-18,2,Tech Specs,Table 1,Sensor Type: 304 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-18-Accuracy,PROD-18,Accuracy,224,DOC-PROD-18,2,Tech Specs,Table 1,Accuracy: 224 %,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-19-PressureRange,PROD-19,Pressure Range,443,DOC-PROD-19,2,Tech Specs,Table 1,Pressure Range: 443 bar,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-19-OutputSignal,PROD-19,Output Signal,339,DOC-PROD-19,2,Tech Specs,Table 1,Output Signal: 339 mA,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-19-Connection,PROD-19,Connection,187,DOC-PROD-19,2,Tech Specs,Table 1,Connection: 187 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-20-PressureRange,PROD-20,Pressure Range,149,DOC-PROD-20,2,Tech Specs,Table 1,Pressure Range: 149 bar,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-20-OutputSignal,PROD-20,Output Signal,438,DOC-PROD-20,2,Tech Specs,Table 1,Output Signal: 438 mA,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-20-Connection,PROD-20,Connection,92,DOC-PROD-20,2,Tech Specs,Table 1,Connection: 92 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-21-RatedVoltage,PROD-21,Rated Voltage,294,DOC-PROD-21,2,Tech Specs,Table 1,Rated Voltage: 294 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-21-RatedCurrent,PROD-21,Rated Current,201,DOC-PROD-21,2,Tech Specs,Table 1,Rated Current: 201 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-21-Pins,PROD-21,Pins,80,DOC-PROD-21,2,Tech Specs,Table 1,Pins: 80 Count,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-21-IPRating,PROD-21,IP Rating,32,DOC-PROD-21,2,Tech Specs,Table 1,IP Rating: 32 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-22-RatedVoltage,PROD-22,Rated Voltage,470,DOC-PROD-22,2,Tech Specs,Table 1,Rated Voltage: 470 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-22-RatedCurrent,PROD-22,Rated Current,452,DOC-PROD-22,2,Tech Specs,Table 1,Rated Current: 452 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-22-Pins,PROD-22,Pins,300,DOC-PROD-22,2,Tech Specs,Table 1,Pins: 300 Count,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-22-IPRating,PROD-22,IP Rating,324,DOC-PROD-22,2,Tech Specs,Table 1,IP Rating: 324 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-23-ContactConfig,PROD-23,Contact Config,253,DOC-PROD-23,2,Tech Specs,Table 1,Contact Config: 253 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-23-RatedVoltage,PROD-23,Rated Voltage,156,DOC-PROD-23,2,Tech Specs,Table 1,Rated Voltage: 156 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-23-IPRating,PROD-23,IP Rating,303,DOC-PROD-23,2,Tech Specs,Table 1,IP Rating: 303 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-24-IPRating,PROD-24,IP Rating,257,DOC-PROD-24,2,Tech Specs,Table 1,IP Rating: 257 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-25-ContactConfig,PROD-25,Contact Config,221,DOC-PROD-25,2,Tech Specs,Table 1,Contact Config: 221 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-25-RatedVoltage,PROD-25,Rated Voltage,133,DOC-PROD-25,2,Tech Specs,Table 1,Rated Voltage: 133 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-25-IPRating,PROD-25,IP Rating,133,DOC-PROD-25,2,Tech Specs,Table 1,IP Rating: 133 String,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-26-InputVoltage,PROD-26,Input Voltage,37,DOC-PROD-26,2,Tech Specs,Table 1,Input Voltage: 37 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-26-OutputVoltage,PROD-26,Output Voltage,83,DOC-PROD-26,2,Tech Specs,Table 1,Output Voltage: 83 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-26-OutputCurrent,PROD-26,Output Current,216,DOC-PROD-26,2,Tech Specs,Table 1,Output Current: 216 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-27-InputVoltage,PROD-27,Input Voltage,387,DOC-PROD-27,2,Tech Specs,Table 1,Input Voltage: 387 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-27-OutputVoltage,PROD-27,Output Voltage,48,DOC-PROD-27,2,Tech Specs,Table 1,Output Voltage: 48 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-27-OutputCurrent,PROD-27,Output Current,107,DOC-PROD-27,2,Tech Specs,Table 1,Output Current: 107 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-28-InputVoltage,PROD-28,Input Voltage,352,DOC-PROD-28,2,Tech Specs,Table 1,Input Voltage: 352 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-28-OutputVoltage,PROD-28,Output Voltage,23,DOC-PROD-28,2,Tech Specs,Table 1,Output Voltage: 23 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-28-OutputCurrent,PROD-28,Output Current,237,DOC-PROD-28,2,Tech Specs,Table 1,Output Current: 237 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-29-RatedVoltage,PROD-29,Rated Voltage,132,DOC-PROD-29,2,Tech Specs,Table 1,Rated Voltage: 132 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-29-RatedCurrent,PROD-29,Rated Current,100,DOC-PROD-29,2,Tech Specs,Table 1,Rated Current: 100 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-29-BreakingCapacity,PROD-29,Breaking Capacity,408,DOC-PROD-29,2,Tech Specs,Table 1,Breaking Capacity: 408 kA,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-29-Poles,PROD-29,Poles,428,DOC-PROD-29,2,Tech Specs,Table 1,Poles: 428 Count,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-29-Weight,PROD-29,Weight,134,DOC-PROD-29,2,Tech Specs,Table 1,Weight: 134 kg,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-30-RatedVoltage,PROD-30,Rated Voltage,38,DOC-PROD-30,2,Tech Specs,Table 1,Rated Voltage: 38 V,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-30-RatedCurrent,PROD-30,Rated Current,164,DOC-PROD-30,2,Tech Specs,Table 1,Rated Current: 164 A,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-30-BreakingCapacity,PROD-30,Breaking Capacity,454,DOC-PROD-30,2,Tech Specs,Table 1,Breaking Capacity: 454 kA,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-30-Poles,PROD-30,Poles,288,DOC-PROD-30,2,Tech Specs,Table 1,Poles: 288 Count,Text,"x=120,y=350,w=280,h=45",98,PASSED
EVID-PROD-30-Weight,PROD-30,Weight,206,DOC-PROD-30,2,Tech Specs,Table 1,Weight: 206 kg,Text,"x=120,y=350,w=280,h=45",98,PASSED
