attribute_id,product_id,attribute_name,original_value,normalized_value,unit,data_type,confidence,extraction_status,source_document,source_page,source_section,source_text
ATTR-PROD-21-IPRating,PROD-21,IP Rating,32 String,32,String,Numeric,98,SUCCESS,DOC-PROD-21,2,Tech Specs,IP Rating: 32 String
ATTR-PROD-22-RatedVoltage,PROD-22,Rated Voltage,470 V,470,V,Numeric,98,SUCCESS,DOC-PROD-22,2,Tech Specs,Rated Voltage: 470 V
ATTR-PROD-22-RatedCurrent,PROD-22,Rated Current,452 A,452,A,Numeric,98,SUCCESS,DOC-PROD-22,2,Tech Specs,Rated Current: 452 A
ATTR-PROD-22-Pins,PROD-22,Pins,300 Count,300,Count,Numeric,98,SUCCESS,DOC-PROD-22,2,Tech Specs,Pins: 300 Count
ATTR-PROD-22-IPRating,PROD-22,IP Rating,324 String,324,String,Numeric,98,SUCCESS,DOC-PROD-22,2,Tech Specs,IP Rating: 324 String
ATTR-PROD-23-ContactConfig,PROD-23,Contact Config,253 String,253,String,Numeric,98,SUCCESS,DOC-PROD-23,2,Tech Specs,Contact Config: 253 String
ATTR-PROD-23-RatedVoltage,PROD-23,Rated Voltage,156 V,156,V,Numeric,98,SUCCESS,DOC-PROD-23,2,Tech Specs,Rated Voltage: 156 V
ATTR-PROD-23-IPRating,PROD-23,IP Rating,303 String,303,String,Numeric,98,SUCCESS,DOC-PROD-23,2,Tech Specs,IP Rating: 303 String
ATTR-PROD-24-IPRating,PROD-24,IP Rating,257 String,257,String,Numeric,98,SUCCESS,DOC-PROD-24,2,Tech Specs,IP Rating: 257 String
ATTR-PROD-25-ContactConfig,PROD-25,Contact Config,221 String,221,String,Numeric,98,SUCCESS,DOC-PROD-25,2,Tech Specs,Contact Config: 221 String
ATTR-PROD-25-RatedVoltage,PROD-25,Rated Voltage,133 V,133,V,Numeric,98,SUCCESS,DOC-PROD-25,2,Tech Specs,Rated Voltage: 133 V
ATTR-PROD-25-IPRating,PROD-25,IP Rating,133 String,133,String,Numeric,98,SUCCESS,DOC-PROD-25,2,Tech Specs,IP Rating: 133 String
ATTR-PROD-26-InputVoltage,PROD-26,Input Voltage,37 V,37,V,Numeric,98,SUCCESS,DOC-PROD-26,2,Tech Specs,Input Voltage: 37 V
ATTR-PROD-26-OutputVoltage,PROD-26,Output Voltage,83 V,83,V,Numeric,98,SUCCESS,DOC-PROD-26,2,Tech Specs,Output Voltage: 83 V
ATTR-PROD-26-OutputCurrent,PROD-26,Output Current,216 A,216,A,Numeric,98,SUCCESS,DOC-PROD-26,2,Tech Specs,Output Current: 216 A
ATTR-PROD-27-InputVoltage,PROD-27,Input Voltage,387 V,387,V,Numeric,98,SUCCESS,DOC-PROD-27,2,Tech Specs,Input Voltage: 387 V
ATTR-PROD-27-OutputVoltage,PROD-27,Output Voltage,48 V,48,V,Numeric,98,SUCCESS,DOC-PROD-27,2,Tech Specs,Output Voltage: 48 V
ATTR-PROD-27-OutputCurrent,PROD-27,Output Current,107 A,107,A,Numeric,98,SUCCESS,DOC-PROD-27,2,Tech Specs,Output Current: 107 A
ATTR-PROD-28-InputVoltage,PROD-28,Input Voltage,352 V,352,V,Numeric,98,SUCCESS,DOC-PROD-28,2,Tech Specs,Input Voltage: 352 V
ATTR-PROD-28-OutputVoltage,PROD-28,Output Voltage,23 V,23,V,Numeric,98,SUCCESS,DOC-PROD-28,2,Tech Specs,Output Voltage: 23 V
ATTR-PROD-28-OutputCurrent,PROD-28,Output Current,237 A,237,A,Numeric,98,SUCCESS,DOC-PROD-28,2,Tech Specs,Output Current: 237 A
ATTR-PROD-29-RatedVoltage,PROD-29,Rated Voltage,132 V,132,V,Numeric,98,SUCCESS,DOC-PROD-29,2,Tech Specs,Rated Voltage: 132 V
ATTR-PROD-29-RatedCurrent,PROD-29,Rated Current,100 A,100,A,Numeric,98,SUCCESS,DOC-PROD-29,2,Tech Specs,Rated Current: 100 A
ATTR-PROD-29-BreakingCapacity,PROD-29,Breaking Capacity,408 kA,408,kA,Numeric,98,SUCCESS,DOC-PROD-29,2,Tech Specs,Breaking Capacity: 408 kA
ATTR-PROD-29-Poles,PROD-29,Poles,428 Count,428,Count,Numeric,98,SUCCESS,DOC-PROD-29,2,Tech Specs,Poles: 428 Count
ATTR-PROD-29-Weight,PROD-29,Weight,134 kg,134,kg,Numeric,98,SUCCESS,DOC-PROD-29,2,Tech Specs,Weight: 134 kg
ATTR-PROD-30-RatedVoltage,PROD-30,Rated Voltage,38 V,38,V,Numeric,98,SUCCESS,DOC-PROD-30,2,Tech Specs,Rated Voltage: 38 V
ATTR-PROD-30-RatedCurrent,PROD-30,Rated Current,164 A,164,A,Numeric,98,SUCCESS,DOC-PROD-30,2,Tech Specs,Rated Current: 164 A
ATTR-PROD-30-BreakingCapacity,PROD-30,Breaking Capacity,454 kA,454,kA,Numeric,98,SUCCESS,DOC-PROD-30,2,Tech Specs,Breaking Capacity: 454 kA
ATTR-PROD-30-Poles,PROD-30,Poles,288 Count,288,Count,Numeric,98,SUCCESS,DOC-PROD-30,2,Tech Specs,Poles: 288 Count
ATTR-PROD-30-Weight,PROD-30,Weight,206 kg,206,kg,Numeric,98,SUCCESS,DOC-PROD-30,2,Tech Specs,Weight: 206 kg
