product_id,attribute,original_value,original_unit,normalized_value,normalized_unit,conversion_applied,normalization_status,confidence
PROD-22,IP Rating,324 String,String,324,String,None,PASSED,99
PROD-23,Contact Config,253 String,String,253,String,None,PASSED,99
PROD-23,Rated Voltage,156 V,V,156,V,None,PASSED,99
PROD-23,IP Rating,303 String,String,303,String,None,PASSED,99
PROD-24,IP Rating,257 String,String,257,String,None,PASSED,99
PROD-25,Contact Config,221 String,String,221,String,None,PASSED,99
PROD-25,Rated Voltage,133 V,V,133,V,None,PASSED,99
PROD-25,IP Rating,133 String,String,133,String,None,PASSED,99
PROD-26,Input Voltage,37 V,V,37,V,None,PASSED,99
PROD-26,Output Voltage,83 V,V,83,V,None,PASSED,99
PROD-26,Output Current,216 A,A,216,A,None,PASSED,99
PROD-27,Input Voltage,387 V,V,387,V,None,PASSED,99
PROD-27,Output Voltage,48 V,V,48,V,None,PASSED,99
PROD-27,Output Current,107 A,A,107,A,None,PASSED,99
PROD-28,Input Voltage,352 V,V,352,V,None,PASSED,99
PROD-28,Output Voltage,23 V,V,23,V,None,PASSED,99
PROD-28,Output Current,237 A,A,237,A,None,PASSED,99
PROD-29,Rated Voltage,132 V,V,132,V,None,PASSED,99
PROD-29,Rated Current,100 A,A,100,A,None,PASSED,99
PROD-29,Breaking Capacity,408 kA,kA,408,kA,None,PASSED,99
PROD-29,Poles,428 Count,Count,428,Count,None,PASSED,99
PROD-29,Weight,134 kg,kg,134,kg,None,PASSED,99
PROD-30,Rated Voltage,38 V,V,38,V,None,PASSED,99
PROD-30,Rated Current,164 A,A,164,A,None,PASSED,99
PROD-30,Breaking Capacity,454 kA,kA,454,kA,None,PASSED,99
PROD-30,Poles,288 Count,Count,288,Count,None,PASSED,99
PROD-30,Weight,206 kg,kg,206,kg,None,PASSED,99
